epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7592,2.25026,8.89487,0.01569,0.02594,0.04456,0.01573,0.01037,1.41258,7.48376,0.00709,5.383e-05,5.383e-05,5.383e-05
2,19.9394,1.84405,6.64551,0.01136,0.13955,0.04934,0.02665,0.01235,1.6495,5.76784,0.00846,0.000114208,0.000114208,0.000114208
3,23.3707,1.64093,4.89936,0.00848,0.04805,0.35751,0.07479,0.04502,1.41001,4.3449,0.00736,0.000173368,0.000173368,0.000173368
4,28.3589,1.55202,4.61722,0.00903,0.14113,0.18668,0.14822,0.0888,1.48115,3.5829,0.00804,0.00023131,0.00023131,0.00023131
5,34.6704,1.50498,3.79773,0.00761,0.19887,0.22221,0.19037,0.10699,1.5509,3.1304,0.00833,0.000288034,0.000288034,0.000288034
6,41.7619,1.50148,3.40229,0.00764,0.29334,0.36758,0.31312,0.18832,1.52383,2.65573,0.00813,0.000343539,0.000343539,0.000343539
7,45.5526,1.49523,3.24606,0.00751,0.37103,0.42605,0.39425,0.23891,1.49314,2.34507,0.00783,0.000397827,0.000397827,0.000397827
8,48.7103,1.42413,2.87037,0.00793,0.39025,0.53507,0.44687,0.2761,1.46228,1.9798,0.00753,0.000450896,0.000450896,0.000450896
9,52.1414,1.41978,2.4712,0.00729,0.48926,0.57414,0.54117,0.30547,1.53548,2.04701,0.00813,0.000502748,0.000502748,0.000502748
10,55.2657,1.43602,2.18424,0.00839,0.49304,0.64333,0.59481,0.32981,1.65792,1.93174,0.00866,0.000553381,0.000553381,0.000553381
11,59.0947,1.43832,1.98985,0.00797,0.67941,0.63129,0.68925,0.41248,1.51315,1.47179,0.00763,0.000602796,0.000602796,0.000602796
12,62.2253,1.4281,1.92122,0.00767,0.67086,0.74257,0.76128,0.43949,1.60268,1.31051,0.00845,0.000650993,0.000650993,0.000650993
13,65.5757,1.4656,1.7479,0.00762,0.73866,0.72044,0.76541,0.45875,1.56595,1.37159,0.00844,0.000677643,0.000677643,0.000677643
14,71.3893,1.4221,1.6726,0.0076,0.74601,0.73371,0.78251,0.46896,1.48862,1.24461,0.0078,0.00067003,0.00067003,0.00067003
15,77.3639,1.45413,1.61098,0.00738,0.81651,0.69396,0.78697,0.48611,1.43382,1.1636,0.0078,0.000662417,0.000662417,0.000662417
16,81.6754,1.45721,1.48016,0.00733,0.75349,0.74474,0.76792,0.45053,1.73272,1.2642,0.00913,0.000654804,0.000654804,0.000654804
17,87.0182,1.53504,1.81619,0.01252,0.76446,0.75604,0.77247,0.46321,1.57922,1.26031,0.00847,0.00064719,0.00064719,0.00064719
18,90.0978,1.40934,1.46383,0.00752,0.81968,0.74138,0.79817,0.43364,1.73812,1.27199,0.009,0.000639577,0.000639577,0.000639577
19,94.8619,1.41253,1.44006,0.00757,0.7626,0.77813,0.82049,0.48919,1.59091,1.11388,0.0083,0.000631964,0.000631964,0.000631964
20,98.8208,1.38526,1.35273,0.00672,0.79258,0.78083,0.8212,0.48157,1.55928,1.05469,0.00808,0.000624351,0.000624351,0.000624351
21,104.177,1.37179,1.36404,0.00727,0.79483,0.80659,0.83274,0.50411,1.53166,1.00137,0.00798,0.000616738,0.000616738,0.000616738
22,107.317,1.37287,1.27498,0.00661,0.80586,0.81673,0.84111,0.54168,1.39882,0.99243,0.00742,0.000609125,0.000609125,0.000609125
23,110.429,1.34873,1.22923,0.00737,0.83029,0.79021,0.84516,0.50644,1.56848,1.07,0.00805,0.000601512,0.000601512,0.000601512
24,117.124,1.43023,1.31311,0.00738,0.78508,0.83088,0.85123,0.52819,1.51831,1.02692,0.00776,0.000593899,0.000593899,0.000593899
25,120.148,1.39102,1.23461,0.00743,0.79865,0.80879,0.84619,0.52171,1.45632,1.05703,0.00779,0.000586286,0.000586286,0.000586286
26,123.403,1.41149,1.31479,0.00871,0.79784,0.81353,0.85012,0.51171,1.52004,1.05819,0.00756,0.000578672,0.000578672,0.000578672
27,129.12,1.37171,1.16849,0.00655,0.7856,0.84439,0.85591,0.55181,1.43155,0.97049,0.00714,0.000571059,0.000571059,0.000571059
28,132.225,1.28667,1.11703,0.00627,0.80486,0.81834,0.85692,0.51344,1.48151,0.99584,0.00743,0.000563446,0.000563446,0.000563446
29,135.293,1.31102,1.21042,0.00659,0.86898,0.77683,0.87027,0.56959,1.36154,0.93233,0.00726,0.000555833,0.000555833,0.000555833
30,143.118,1.30904,1.15919,0.00645,0.84806,0.83494,0.87274,0.57275,1.35034,0.92476,0.007,0.00054822,0.00054822,0.00054822
31,146.374,1.33321,1.15317,0.00668,0.83524,0.83568,0.86867,0.56632,1.41559,0.90952,0.00744,0.000540607,0.000540607,0.000540607
32,149.502,1.29962,1.18365,0.00671,0.86377,0.81638,0.85577,0.57851,1.28739,0.99426,0.00711,0.000532994,0.000532994,0.000532994
33,152.871,1.34625,1.18482,0.00651,0.82154,0.83538,0.84861,0.58098,1.24634,1.00779,0.00679,0.000525381,0.000525381,0.000525381
34,159.563,1.41144,1.22716,0.00785,0.8093,0.83633,0.84742,0.56779,1.29246,1.02286,0.00723,0.000517768,0.000517768,0.000517768
35,163.584,1.36571,1.25847,0.00699,0.84641,0.83915,0.86977,0.54283,1.45312,0.91949,0.00769,0.000510155,0.000510155,0.000510155
36,168.007,1.2627,1.0176,0.00604,0.84663,0.83647,0.87319,0.5783,1.34472,0.89956,0.0071,0.000502541,0.000502541,0.000502541
37,171.143,1.30717,1.11937,0.00626,0.81454,0.87127,0.87745,0.59301,1.31998,0.86483,0.00722,0.000494928,0.000494928,0.000494928
