epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5154,1.96623,11.411,0.0132,0.02453,0.05541,0.01507,0.01157,1.36687,8.58452,0.00723,5.383e-05,5.383e-05,5.383e-05
2,74.8724,1.5238,7.05049,0.00699,0.02031,0.14533,0.02944,0.01708,1.35515,6.3655,0.00743,0.000114589,0.000114589,0.000114589
3,94.5855,1.33054,5.76164,0.00645,0.16048,0.11231,0.05324,0.03372,1.2567,4.81926,0.00683,0.000174535,0.000174535,0.000174535
4,120.892,1.29583,5.07122,0.00664,0.17403,0.10726,0.07903,0.05337,1.18858,3.871,0.00691,0.00023367,0.00023367,0.00023367
5,142.782,1.28865,4.43453,0.00622,0.46745,0.19851,0.17552,0.11896,1.1834,3.2244,0.00667,0.000291992,0.000291992,0.000291992
6,162.742,1.27375,3.58091,0.00555,0.34852,0.32379,0.26989,0.18232,1.17772,2.68105,0.00682,0.000349503,0.000349503,0.000349503
7,180.109,1.29193,3.46197,0.00593,0.40083,0.40228,0.34838,0.23089,1.20375,2.28479,0.00702,0.000406201,0.000406201,0.000406201
8,201.137,1.19835,2.85963,0.00566,0.49739,0.46139,0.46502,0.32347,1.1739,1.85532,0.00668,0.000462087,0.000462087,0.000462087
9,225.028,1.2005,2.43628,0.00582,0.42242,0.65022,0.56585,0.39552,1.19245,1.71621,0.00714,0.000517162,0.000517162,0.000517162
10,244.945,1.21254,2.12021,0.00598,0.46576,0.64179,0.61143,0.43072,1.16256,1.54045,0.00693,0.000571424,0.000571424,0.000571424
11,262.222,1.21978,1.83506,0.00519,0.66558,0.6169,0.65257,0.44637,1.17505,1.38373,0.00669,0.000624874,0.000624874,0.000624874
12,279.238,1.16131,1.7554,0.00575,0.55952,0.69055,0.66483,0.45847,1.20385,1.32945,0.00685,0.000677512,0.000677512,0.000677512
13,296.225,1.20168,1.61056,0.00532,0.66199,0.70905,0.72006,0.49254,1.22324,1.22411,0.00705,0.000708095,0.000708095,0.000708095
14,314.497,1.21536,1.56095,0.00527,0.73292,0.67565,0.74203,0.51556,1.20362,1.12929,0.0068,0.00070302,0.00070302,0.00070302
15,332.324,1.18655,1.47557,0.00531,0.69241,0.70422,0.74195,0.49361,1.2539,1.11695,0.00729,0.000697944,0.000697944,0.000697944
16,357.982,1.15219,1.30694,0.00574,0.75326,0.76171,0.78233,0.5323,1.23279,1.04638,0.00697,0.000692869,0.000692869,0.000692869
17,386.297,1.19115,1.24662,0.00521,0.7911,0.73429,0.80074,0.53955,1.17182,1.00578,0.00655,0.000687794,0.000687794,0.000687794
18,414.049,1.17206,1.33522,0.00528,0.73626,0.77825,0.78502,0.54452,1.17475,1.11592,0.00637,0.000682718,0.000682718,0.000682718
19,435.469,1.14703,1.21176,0.00578,0.78038,0.77402,0.80161,0.55377,1.20702,1.06264,0.00726,0.000677643,0.000677643,0.000677643
20,455.786,1.15824,1.22015,0.00476,0.80524,0.75521,0.8181,0.56101,1.19318,1.01061,0.0068,0.000672567,0.000672567,0.000672567
21,473.743,1.14203,1.17755,0.00527,0.77493,0.8004,0.80228,0.55567,1.2068,1.01671,0.00731,0.000667492,0.000667492,0.000667492
22,495.74,1.18354,1.09498,0.00526,0.78897,0.79023,0.81022,0.56889,1.13932,0.97537,0.00661,0.000662417,0.000662417,0.000662417
23,520.597,1.10874,1.11149,0.00596,0.77328,0.80114,0.83354,0.57892,1.14094,0.98498,0.00716,0.000657341,0.000657341,0.000657341
24,542.881,1.06984,1.01712,0.00525,0.72884,0.81643,0.83608,0.58344,1.1065,0.91441,0.00616,0.000652266,0.000652266,0.000652266
25,567.467,1.15304,1.07037,0.00492,0.78157,0.81004,0.83394,0.5868,1.11924,0.90468,0.00639,0.00064719,0.00064719,0.00064719
26,589.938,1.07794,0.99243,0.00468,0.84655,0.75672,0.83181,0.59275,1.12051,0.86026,0.00635,0.000642115,0.000642115,0.000642115
