epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.1055,1.82639,5.58688,0.00852,0.59644,0.05051,0.03742,0.02465,1.35309,4.37827,0.00686,5.383e-05,5.383e-05,5.383e-05
2,148.886,1.44237,4.24583,0.00618,0.4828,0.07407,0.03387,0.02258,1.32016,3.63923,0.00698,0.000114589,0.000114589,0.000114589
3,209.524,1.26213,3.69555,0.00588,0.71673,0.1596,0.13059,0.09401,1.15371,3.11593,0.00624,0.000174535,0.000174535,0.000174535
4,269.814,1.2327,3.01782,0.00606,0.56837,0.25277,0.22147,0.15398,1.15187,2.33217,0.00626,0.00023367,0.00023367,0.00023367
5,327.229,1.29866,2.74609,0.00667,0.36816,0.44387,0.40068,0.26931,1.22865,1.99057,0.00726,0.000291992,0.000291992,0.000291992
6,390.978,1.2026,2.02507,0.00486,0.51127,0.60178,0.54429,0.36951,1.24763,1.67843,0.00736,0.000349503,0.000349503,0.000349503
7,451.368,1.20248,1.82976,0.00515,0.64004,0.64306,0.6494,0.4379,1.26105,1.60206,0.00753,0.000406201,0.000406201,0.000406201
8,513.53,1.21097,1.74652,0.00584,0.64223,0.62681,0.71059,0.49219,1.21069,1.25329,0.00662,0.000462087,0.000462087,0.000462087
9,576.454,1.16578,1.49216,0.00509,0.65443,0.62935,0.74411,0.50584,1.20067,1.1545,0.00677,0.000517162,0.000517162,0.000517162
10,639.074,1.19296,1.40444,0.00586,0.72708,0.69289,0.76817,0.52178,1.17904,0.99724,0.00644,0.000571424,0.000571424,0.000571424
11,695.32,1.13146,1.31231,0.0047,0.69674,0.66725,0.78478,0.53606,1.2148,1.13678,0.00702,0.000624874,0.000624874,0.000624874
12,755.219,1.16915,1.35595,0.00604,0.73629,0.66127,0.79351,0.54357,1.19691,1.11546,0.00685,0.000677512,0.000677512,0.000677512
13,812.911,1.20224,1.26198,0.00557,0.77254,0.76476,0.81653,0.5545,1.23565,1.02107,0.00676,0.000708095,0.000708095,0.000708095
14,866.325,1.1787,1.14269,0.0053,0.7272,0.76495,0.82013,0.5583,1.19474,1.0795,0.00639,0.00070302,0.00070302,0.00070302
15,921.041,1.18145,1.1289,0.00623,0.81604,0.74127,0.82455,0.5693,1.1623,0.99875,0.00633,0.000697944,0.000697944,0.000697944
16,979.025,1.14799,1.02685,0.00497,0.74686,0.77643,0.80944,0.5493,1.33926,1.11742,0.0074,0.000692869,0.000692869,0.000692869
17,1034.81,1.13394,0.99078,0.00485,0.77336,0.77696,0.82425,0.57955,1.12146,0.98595,0.00646,0.000687794,0.000687794,0.000687794
18,1091.09,1.24213,1.03836,0.00604,0.74857,0.78347,0.83597,0.59478,1.14348,1.01014,0.00657,0.000682718,0.000682718,0.000682718
19,1148.51,1.12381,0.99644,0.00514,0.79998,0.7575,0.82987,0.59033,1.11868,1.01426,0.00642,0.000677643,0.000677643,0.000677643
