epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.91784,2.24153,5.81241,0.01127,0.03526,0.04616,0.02263,0.01677,1.55604,5.59364,0.00812,2.307e-05,2.307e-05,2.307e-05
2,3.52301,2.00181,6.00635,0.01035,0.03677,0.05653,0.02686,0.02016,1.50603,5.22651,0.00776,5.32971e-05,5.32971e-05,5.32971e-05
3,5.25358,1.83585,5.27581,0.00879,0.03646,0.05744,0.0327,0.02247,1.45896,4.53813,0.00715,8.29151e-05,8.29151e-05,8.29151e-05
4,7.02134,1.61157,4.33042,0.00726,0.1402,0.06623,0.03361,0.02276,1.44545,4.33796,0.00743,0.000111924,0.000111924,0.000111924
5,8.79148,1.54606,3.93308,0.00694,0.14274,0.05034,0.04089,0.02331,1.47434,3.91106,0.00758,0.000140324,0.000140324,0.000140324
6,10.5341,1.52408,3.40712,0.00605,0.31216,0.17412,0.11152,0.0688,1.34328,3.1186,0.00725,0.000168115,0.000168115,0.000168115
7,12.2973,1.40191,3.10035,0.00622,0.55382,0.15666,0.15747,0.10265,1.28015,2.81288,0.00688,0.000195297,0.000195297,0.000195297
8,14.065,1.40082,2.79548,0.00585,0.70855,0.16443,0.23885,0.16209,1.25989,2.35157,0.00659,0.00022187,0.00022187,0.00022187
9,16.8214,1.29376,2.6052,0.0055,0.39404,0.30133,0.30524,0.20289,1.27751,2.13001,0.0067,0.000247833,0.000247833,0.000247833
10,19.6925,1.30011,2.2125,0.00545,0.28248,0.44097,0.36694,0.25059,1.24747,1.92066,0.00693,0.000273188,0.000273188,0.000273188
11,22.6702,1.39939,1.97763,0.00526,0.39013,0.50884,0.42882,0.27994,1.41288,1.74752,0.00722,0.000297934,0.000297934,0.000297934
12,25.5742,1.35751,1.92596,0.00607,0.41678,0.53779,0.4705,0.32582,1.23766,1.60639,0.0066,0.00032207,0.00032207,0.00032207
13,28.3937,1.37992,1.78052,0.00557,0.46464,0.55145,0.5273,0.35757,1.3679,1.64958,0.00738,0.000345598,0.000345598,0.000345598
14,31.1704,1.30073,1.74071,0.00575,0.53604,0.61804,0.61184,0.42176,1.20736,1.37369,0.00662,0.000368516,0.000368516,0.000368516
15,34.0304,1.31236,1.61426,0.00585,0.57049,0.62615,0.65077,0.44713,1.21959,1.28772,0.00663,0.000390826,0.000390826,0.000390826
16,36.7803,1.32825,1.60327,0.00558,0.63606,0.62306,0.66123,0.44288,1.346,1.34929,0.00729,0.000412526,0.000412526,0.000412526
17,38.9912,1.34031,1.5155,0.0056,0.60431,0.7087,0.68293,0.47562,1.19367,1.20435,0.0064,0.000433618,0.000433618,0.000433618
18,41.6008,1.28424,1.46472,0.00546,0.6186,0.6539,0.68532,0.47089,1.17758,1.17617,0.00638,0.0004541,0.0004541,0.0004541
19,43.7145,1.2645,1.39096,0.00521,0.64372,0.65595,0.69232,0.48135,1.20055,1.17562,0.00667,0.000473973,0.000473973,0.000473973
20,46.3359,1.2486,1.36166,0.00543,0.63239,0.65915,0.68754,0.46498,1.19864,1.17475,0.00673,0.000493237,0.000493237,0.000493237
21,48.4972,1.27308,1.29138,0.00533,0.6409,0.68852,0.70007,0.47733,1.18806,1.14873,0.00665,0.000511893,0.000511893,0.000511893
22,50.7514,1.2411,1.20967,0.00511,0.65325,0.70658,0.72675,0.48728,1.22803,1.13112,0.00653,0.000529939,0.000529939,0.000529939
23,53.5108,1.24806,1.28746,0.00578,0.66516,0.70708,0.7286,0.49618,1.19505,1.06266,0.00663,0.000547376,0.000547376,0.000547376
24,55.2218,1.30269,1.16324,0.00596,0.68142,0.74659,0.75696,0.51544,1.16003,1.01902,0.00628,0.000564204,0.000564204,0.000564204
25,56.9396,1.24421,1.19764,0.00513,0.74528,0.69881,0.75521,0.50301,1.30619,1.03291,0.00669,0.000580423,0.000580423,0.000580423
26,58.5934,1.20715,1.09678,0.00487,0.76471,0.75537,0.78152,0.51957,1.21234,1.01381,0.0063,0.000578672,0.000578672,0.000578672
27,60.3225,1.20067,1.04955,0.00462,0.73948,0.7882,0.80267,0.54192,1.2012,0.98128,0.00649,0.000571059,0.000571059,0.000571059
28,62.0217,1.21712,1.0518,0.00476,0.71328,0.7696,0.77617,0.52573,1.24705,1.04866,0.00626,0.000563446,0.000563446,0.000563446
29,63.6828,1.21546,1.08232,0.00536,0.78014,0.77915,0.79632,0.55026,1.20673,0.91997,0.00643,0.000555833,0.000555833,0.000555833
30,65.375,1.15971,0.99334,0.00504,0.81803,0.73796,0.82033,0.56396,1.24688,0.94286,0.0063,0.00054822,0.00054822,0.00054822
31,67.0739,1.18813,0.98663,0.00498,0.84283,0.74317,0.80715,0.56171,1.21773,0.91333,0.00646,0.000540607,0.000540607,0.000540607
32,68.7443,1.16743,1.00261,0.00494,0.78537,0.74376,0.80331,0.54139,1.2031,0.88672,0.00609,0.000532994,0.000532994,0.000532994
33,70.4195,1.13729,0.90313,0.00481,0.74853,0.77478,0.79003,0.53626,1.2095,0.90974,0.00618,0.000525381,0.000525381,0.000525381
34,72.0873,1.21396,0.94881,0.00498,0.80222,0.74017,0.78466,0.54459,1.16625,0.97484,0.00608,0.000517768,0.000517768,0.000517768
35,73.7584,1.15614,0.92297,0.00485,0.80157,0.73252,0.78422,0.54198,1.13677,0.98097,0.00591,0.000510155,0.000510155,0.000510155
36,75.434,1.17309,0.91762,0.00428,0.79163,0.7298,0.79744,0.54218,1.20981,0.93492,0.00604,0.000502541,0.000502541,0.000502541
37,77.094,1.17597,0.89942,0.00464,0.78104,0.7673,0.81054,0.55129,1.17557,0.87716,0.00607,0.000494928,0.000494928,0.000494928
38,78.7616,1.19023,0.90172,0.00482,0.79347,0.79949,0.8265,0.55967,1.16781,0.83945,0.00602,0.000487315,0.000487315,0.000487315
39,80.4293,1.1283,0.84173,0.00442,0.78534,0.80981,0.83054,0.57593,1.12804,0.80071,0.00574,0.000479702,0.000479702,0.000479702
40,82.1232,1.12961,0.81739,0.00478,0.82312,0.79304,0.8294,0.5798,1.16136,0.81533,0.00606,0.000472089,0.000472089,0.000472089
41,83.8138,1.13637,0.82699,0.00447,0.79983,0.81666,0.82445,0.56859,1.16464,0.82448,0.00617,0.000464476,0.000464476,0.000464476
42,85.4844,1.13344,0.83491,0.00456,0.80394,0.81199,0.82865,0.56641,1.1674,0.79991,0.00615,0.000456863,0.000456863,0.000456863
43,87.1376,1.11166,0.80758,0.00458,0.78791,0.79378,0.82061,0.56007,1.16585,0.78114,0.00612,0.00044925,0.00044925,0.00044925
44,88.8129,1.12781,0.78797,0.00443,0.76514,0.8053,0.82392,0.5709,1.1505,0.79355,0.00588,0.000441637,0.000441637,0.000441637
45,90.4786,1.09551,0.79844,0.00445,0.84531,0.77352,0.8247,0.56887,1.12287,0.77693,0.00586,0.000434024,0.000434024,0.000434024
46,92.1378,1.09644,0.74014,0.00433,0.7847,0.82209,0.82672,0.55941,1.1826,0.80858,0.00598,0.000426411,0.000426411,0.000426411
